,sensor_01,sensor_02,sensor_03,sensor_04,sensor_05,sensor_06,sensor_07,sensor_08,sensor_09,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21,sensor_22,sensor_23,sensor_24,sensor_25,sensor_26,sensor_27,sensor_28,sensor_29,sensor_30,sensor_31,sensor_32,sensor_33,sensor_34,sensor_35,sensor_36,sensor_37,sensor_38,sensor_39,sensor_40,sensor_41,sensor_42,sensor_43,sensor_44,sensor_45,sensor_46,sensor_47,sensor_48,sensor_49
sensor_01,1.0,0.8890331574291693,0.9130163233741437,0.5107545110482556,0.540520527580018,0.5755934764836755,0.6015359686321731,0.4895178378355033,0.6440579002557251,0.502619517533968,0.5291627260002228,0.4908086649080581,0.3422935761313977,-0.3186618258544725,-0.29793308363068144,-0.13626145374885712,-0.13182460233152385,-0.41765605928887267,-0.4221665834926102,-0.41564482944941855,-0.12215574572016825,0.2906530674528447,-0.3997935771047232,-0.13934892965400814,-0.13739354567056963,0.13474684688832933,0.26528673565526406,-0.3593801814366262,0.3838253958343032,0.17211854826484918,-0.6370075383525173,-0.38181880903659804,0.13478089894900816,0.07608104969522915,0.31814335957052675,0.38566806296638284,0.4605238759523034,0.3669825153312927,0.48804988250664977,0.5130770413199529,0.3784498599208792,0.3664598609448462,0.5186661353285316,0.41323926622880824,0.2836365339736879,0.3383933489882969,0.5719075613666749,0.46847897159555824
sensor_02,0.8890331574291693,1.0,0.9136185825888317,0.6458593681499746,0.6910068945268762,0.7217820429847089,0.7197505024641643,0.5446642727233366,0.8097943235739549,0.6686418216834571,0.69445937180752,0.6429319300836438,0.45214421671177457,-0.24146552766427326,-0.2260914323212092,-0.10596600487774838,-0.10133103063530315,-0.31033217824737314,-0.3137625830374432,-0.30966534478941526,-0.15736211290676866,0.38250293437774047,-0.2953593734937073,-0.17813719018134558,-0.17610435848682243,0.15095567430686518,0.053798669708594676,-0.4440200205943592,0.451050723599319,0.14343698946131503,-0.5137236803653813,-0.36144871018109803,0.10171237988728088,0.16259265045329416,0.43714760120557267,0.29752921068728727,0.46746305076149675,0.25525049265344174,0.42841776684629684,0.4226552551719598,0.23918021087938762,0.24194446459671412,0.3751781338252704,0.3680254971102522,0.24895055280852854,0.31806852958422205,0.561508944931721,0.4321959168637482
sensor_03,0.9130163233741437,0.9136185825888317,1.0,0.5716690270337658,0.6222064899287929,0.622052113231857,0.6116674641528239,0.4938464269544905,0.6988673337485868,0.5714352483326686,0.6014478959072926,0.5642584843359281,0.3743396190554571,-0.28729687337740534,-0.26777557384275547,-0.11479461742982204,-0.10997063270660733,-0.3681470062827924,-0.37265242474551097,-0.3657939365672646,-0.1164901434150033,0.342520441113106,-0.3510520948159135,-0.13283365815969553,-0.1283526485192569,0.11956332647439864,0.1534854419865302,-0.3902471629624531,0.4000862715969231,0.14894948342224448,-0.5307726450751218,-0.33599497128148254,0.09348106319325639,0.06702546949800375,0.3783468759389166,0.36988181428320355,0.428960020988441,0.2626429246649268,0.3917919569572116,0.42990513581118606,0.2736760758281491,0.25141617251248344,0.3725376516730749,0.34120801705782994,0.22118463685381232,0.27361985627129415,0.524968021832385,0.4027582167064805
sensor_04,0.5107545110482556,0.6458593681499746,0.5716690270337658,1.0,0.889454905491983,0.8528519638248783,0.7022777522041378,0.6117937408772831,0.5701608042939796,0.9426546698068997,0.9369800515045383,0.9324414364536916,0.717754779015373,-0.04251613182690809,-0.02287144889472707,0.007758530366128597,0.010993153830240956,-0.12796664000919775,-0.12834571261946187,-0.125425512002776,-0.13674017931099208,0.24000777521216135,-0.11661530203854842,-0.14991334150268237,-0.14599681030606435,0.12007761037171719,-0.1958250764217741,-0.2602401712111633,0.22833357822707173,-0.035686866808540725,0.024031806167977097,0.0043808064938542935,-0.3206432978520374,0.016787210020426,0.4932142648248968,0.1892609858636522,0.537240062328731,0.17375631161812435,0.4247366948279237,0.34827789019617567,0.0919392264869932,0.10969465451189003,0.1740627577300233,0.07383065571621607,0.041168230332989074,0.1966178872713235,0.4608005579864522,0.16943058678684678
sensor_05,0.540520527580018,0.6910068945268762,0.6222064899287929,0.889454905491983,1.0,0.8126000392051987,0.6319317313305008,0.5055577938528472,0.6183202486353503,0.9152348510164836,0.9069290094504462,0.8813212944992352,0.6612233564156775,-0.14933347022017235,-0.14410185945030643,-0.08451518485810795,-0.08022072217630433,-0.1634614889367044,-0.16540877734397105,-0.16224107473634897,-0.14335409585535064,0.24337923228607541,-0.15159501574162398,-0.16543256247199992,-0.15834713458012936,0.16215139271844803,-0.12759730060335375,-0.28918908373594576,0.2736074680376184,0.03475516032130345,-0.03494237529060031,0.004161897972465828,-0.2511759036337869,0.01556105908877123,0.5450109374502164,0.20815497778761816,0.5277361665187171,0.15601912290931674,0.39707274388225533,0.3412365829328829,0.08461687459023201,0.08988357417058254,0.1487570264060995,0.06843980882292314,0.04069244499816029,0.2565901587330585,0.42626388873494253,0.15654771423873723
sensor_06,0.5755934764836755,0.7217820429847089,0.622052113231857,0.8528519638248783,0.8126000392051987,1.0,0.8921275235666629,0.7191713884881252,0.7979622302322553,0.8474276176970179,0.8380834821403977,0.8218582199556016,0.6374558978305804,0.010852043799874317,0.030994230934371286,0.036394072138633035,0.03931801259150677,-0.06760839539917216,-0.06623565420329472,-0.06642868696177585,0.008182590297045825,0.42011591997326964,-0.05802232980044288,0.008887637583334676,0.009647538056719345,0.07571410904207748,-0.2762054306909385,-0.3168998723545233,0.28194452488924143,-0.021990718047852756,-0.06329731862560951,-0.1539364220406552,-0.2293436328533779,0.09242211231307026,0.5024022042511731,0.0860512600826444,0.5295298150397686,0.2288788163961661,0.4409359454116777,0.39188380082436436,0.1729625052768407,0.1786223239249635,0.24843504324260024,0.20817699248789015,0.15974948884801599,0.26342990065494737,0.4449653590776576,0.24384272503919208
sensor_07,0.6015359686321731,0.7197505024641643,0.6116674641528239,0.7022777522041378,0.6319317313305008,0.8921275235666629,1.0,0.8114171262016553,0.8548202436667315,0.688263108786617,0.6542077502347683,0.6579576295884711,0.5063939468613934,0.02100209661088821,0.04128192787468817,0.046086234198399405,0.04891191579372498,-0.04301765735170147,-0.04131985094503752,-0.0429114598550289,-0.04169875948737608,0.4191788338082154,-0.03537997137790039,-0.04839185498493151,-0.047375206423045074,0.04903653157141915,-0.24564103010342356,-0.36157442151912406,0.3308367582725568,0.024983919669818628,-0.16331938358598938,-0.24121740770159597,-0.1485630862518961,0.18300238621540646,0.47666077987043953,0.06393350403480774,0.4609960710616672,0.28457821991276433,0.4396786742893833,0.39864835692150885,0.24456266865492995,0.24907393077984602,0.24781560172483214,0.2573290278858971,0.24544261358955455,0.2503955457010208,0.3687923621841612,0.18372079495837065
sensor_08,0.4895178378355033,0.5446642727233366,0.4938464269544905,0.6117937408772831,0.5055577938528472,0.7191713884881252,0.8114171262016553,1.0,0.6593634017300958,0.5633590297996126,0.5337879808290429,0.5449610713645093,0.4265910686199173,-0.039319703571336184,-0.027103879449053393,-0.003360709357381672,-0.0005072080648595964,-0.08399155335138796,-0.08316261706078518,-0.08069340842696175,-0.046228941597839586,0.28522212835227495,-0.07295152671783596,-0.0498156848895401,-0.048497595326830706,0.08573342576549951,-0.15882542127372853,-0.24640840851370285,0.23850598105663318,-0.0007331368517343194,-0.12473469699853292,-0.14617120804487838,-0.17324373161532042,0.08242701180583835,0.40406781280512205,0.1625276244243758,0.3997459388331334,0.24158037200370366,0.36769752059107697,0.3640571744478609,0.2176819141002343,0.2178726379519783,0.19766462573338162,0.22282781342791783,0.2346830839709102,0.22370450242132298,0.26917503921019864,0.09226601692329614
sensor_09,0.6440579002557251,0.8097943235739549,0.6988673337485868,0.5701608042939796,0.6183202486353503,0.7979622302322553,0.8548202436667315,0.6593634017300958,1.0,0.6101382405957777,0.615344585137582,0.5623323763981911,0.4391144627023017,-0.029746554788738583,-0.017291798787324935,0.005853494296319934,0.008821239727768703,-0.08148089554694364,-0.08094751813504414,-0.08255549046160537,-0.023968430431359558,0.4837949359428264,-0.07532768090112486,-0.022812273589127435,-0.024522416623098425,0.0812826744505125,-0.20197398131149494,-0.40203877410344774,0.3821508818538658,0.0325568688568651,-0.3092565361515966,-0.348188156216796,0.06255126031835885,0.24863388696933628,0.40619334073482827,0.056104631172122124,0.39231758178168985,0.2502319526563577,0.37891338679403097,0.3505017015980852,0.2246391853226638,0.216605545986802,0.22199825510721385,0.26797821490439755,0.2404479271145497,0.23528104471369024,0.36320241929529296,0.2500629747720693
sensor_10,0.502619517533968,0.6686418216834571,0.5714352483326686,0.9426546698068997,0.9152348510164836,0.8474276176970179,0.688263108786617,0.5633590297996126,0.6101382405957777,1.0,0.9596882825940359,0.938402502036313,0.7311256700776638,-0.09135488201147798,-0.07614175733086483,-0.03411655430844719,-0.030422620932360315,-0.13453065082706725,-0.13528021641550186,-0.13186356365797355,-0.13985130755392913,0.23580578350084766,-0.12316949360706754,-0.15983185695536775,-0.1548550507126505,0.15677039940526488,-0.17288991037849405,-0.25611762540587824,0.22794983157348578,-0.05921401443341252,0.00799407567658237,0.025407880948722955,-0.23768657741435714,0.05125905419398386,0.48627624636468636,0.17455328253993257,0.5331812871733018,0.11708667900943678,0.4138458814601819,0.3452963603152484,0.07399162555792471,0.10893026966327758,0.1449008500262956,0.09530985165990558,0.08765477849556884,0.25025088821070446,0.49340970967952363,0.18191540964466
sensor_11,0.5291627260002228,0.69445937180752,0.6014478959072926,0.9369800515045383,0.9069290094504462,0.8380834821403977,0.6542077502347683,0.5337879808290429,0.615344585137582,0.9596882825940359,1.0,0.9577179625819107,0.7396558932341074,-0.1084297102514016,-0.09401167576887585,-0.034888835165672503,-0.03099305910948753,-0.1876734883411812,-0.188338863794399,-0.18428913720277534,-0.13953962303277806,0.236942896770544,-0.17368100966065927,-0.16043711655564152,-0.1561336699848928,0.161222537063073,-0.12625915265403664,-0.2611404161622734,0.2438054779485005,-0.040603332480710075,-0.0541534917245443,-0.01671465136979207,-0.16616598543694266,0.02219123657575533,0.41835903966453447,0.16629686928096443,0.5025439096957485,0.10628916220385627,0.3859683417142062,0.293404830929414,0.03382305524169009,0.06450174382064003,0.1330711944901005,0.11279667348835151,0.06431745588273874,0.19886177386068116,0.5331633947990756,0.22611875352682267
sensor_12,0.4908086649080581,0.6429319300836438,0.5642584843359281,0.9324414364536916,0.8813212944992352,0.8218582199556016,0.6579576295884711,0.5449610713645093,0.5623323763981911,0.938402502036313,0.9577179625819107,1.0,0.7338360335301691,-0.12209716439125079,-0.1072629787967449,-0.0398775835772597,-0.03582798352163904,-0.21537365919157103,-0.21593127954980781,-0.21186587606241192,-0.12778616192857883,0.21371528829320524,-0.19952744053190427,-0.1463021516520545,-0.14169156012073433,0.14281084094866503,-0.14449138137560655,-0.27088594738428795,0.25349623271147925,0.07064948218853769,-0.009399967280738542,0.023918582313403325,-0.21878286859195945,-0.0241631914158431,0.41437078454437953,0.15796544142317998,0.4898974912059014,0.09624971474021628,0.37954593038029516,0.29149880334974515,0.03526521601925043,0.0677249427849594,0.11224087976122904,0.09815511670662533,0.06430456140722074,0.18351689145593464,0.5213570616013246,0.17859095736741895
